,award_id,mod_value_6,mod_des_7,mod_des_7_1,mod_des_7_2,mod_des_7_3,mod_des_7_4,mod_des_7_5,mod_des_7_6,mod_des_7_7,mod_des_7_8,mod_des_7_9,mod_des_7_10,mod_des_7_11,mod_des_7_12,mod_des_7_13,mod_des_7_13_oe,mod_des_7_96,mod_value_7,mod_des_8,mod_des_8_1,mod_des_8_2,mod_des_8_3,mod_des_8_4,mod_des_8_5,mod_des_8_6,mod_des_8_7,mod_des_8_8,mod_des_8_9,mod_des_8_10,mod_des_8_11,mod_des_8_12,mod_des_8_13,mod_des_8_13_oe,mod_des_8_96,mod_value_8,mod_des_9,mod_des_9_1,mod_des_9_2,mod_des_9_3,mod_des_9_4,mod_des_9_5,mod_des_9_6,mod_des_9_7,mod_des_9_8,mod_des_9_9,mod_des_9_10,mod_des_9_11,mod_des_9_12,mod_des_9_13,mod_des_9_13_oe,mod_des_9_96,mod_value_9,mod_des_10,mod_des_10_1,mod_des_10_2,mod_des_10_3,mod_des_10_4,mod_des_10_5,mod_des_10_6,mod_des_10_7,mod_des_10_8,mod_des_10_9,mod_des_10_10,mod_des_10_11,mod_des_10_12,mod_des_10_13,mod_des_10_13_oe,mod_des_10_96,mod_value_10,mod_des_11,mod_des_11_1,mod_des_11_2,mod_des_11_3,mod_des_11_4,mod_des_11_5,mod_des_11_6,mod_des_11_7,mod_des_11_8,mod_des_11_9,mod_des_11_10,mod_des_11_11,mod_des_11_12,mod_des_11_13,mod_des_11_13_oe,mod_des_11_96,mod_value_11,mod_des_12,mod_des_12_1,mod_des_12_2,mod_des_12_3,mod_des_12_4,mod_des_12_5,mod_des_12_6,mod_des_12_7,mod_des_12_8,mod_des_12_9,mod_des_12_10,mod_des_12_11,mod_des_12_12,mod_des_12_13,mod_des_12_13_oe,mod_des_12_96,mod_value_12,mod_des_13,mod_des_13_1,mod_des_13_2,mod_des_13_3,mod_des_13_4,mod_des_13_5,mod_des_13_6,mod_des_13_7,mod_des_13_8,mod_des_13_9,mod_des_13_10,mod_des_13_11,mod_des_13_12,mod_des_13_13,mod_des_13_13_oe,mod_des_13_96,mod_value_13,mod_des_14,mod_des_14_1,mod_des_14_2,mod_des_14_3,mod_des_14_4,mod_des_14_5,mod_des_14_6,mod_des_14_7,mod_des_14_8,mod_des_14_9,mod_des_14_10,mod_des_14_11,mod_des_14_12,mod_des_14_13,mod_des_14_13_oe,mod_des_14_96,mod_value_14,mod_des_15,mod_des_15_1,mod_des_15_2,mod_des_15_3,mod_des_15_4,mod_des_15_5,mod_des_15_6,mod_des_15_7,mod_des_15_8,mod_des_15_9,mod_des_15_10,mod_des_15_11,mod_des_15_12,mod_des_15_13,mod_des_15_13_oe,mod_des_15_96,mod_value_15,mod_des_16,mod_des_16_1,mod_des_16_2,mod_des_16_3,mod_des_16_4,mod_des_16_5,mod_des_16_6,mod_des_16_7,mod_des_16_8,mod_des_16_9,mod_des_16_10,mod_des_16_11,mod_des_16_12,mod_des_16_13,mod_des_16_13_oe,mod_des_16_96,mod_value_16,mod_des_17,mod_des_17_1,mod_des_17_2,mod_des_17_3,mod_des_17_4,mod_des_17_5,mod_des_17_6,mod_des_17_7,mod_des_17_8,mod_des_17_9,mod_des_17_10,mod_des_17_11,mod_des_17_12,mod_des_17_13,mod_des_17_13_oe,mod_des_17_96,mod_value_17,mod_des_18,mod_des_18_1,mod_des_18_2,mod_des_18_3,mod_des_18_4,mod_des_18_5,mod_des_18_6,mod_des_18_7,mod_des_18_8,mod_des_18_9,mod_des_18_10,mod_des_18_11,mod_des_18_12,mod_des_18_13,mod_des_18_13_oe,mod_des_18_96,mod_value_18,mod_des_19,mod_des_19_1,mod_des_19_2,mod_des_19_3,mod_des_19_4,mod_des_19_5,mod_des_19_6,mod_des_19_7,mod_des_19_8,mod_des_19_9,mod_des_19_10,mod_des_19_11,mod_des_19_12,mod_des_19_13,mod_des_19_13_oe,mod_des_19_96,mod_value_19,mod_des_20,mod_des_20_1,mod_des_20_2,mod_des_20_3,mod_des_20_4,mod_des_20_5,mod_des_20_6,mod_des_20_7,mod_des_20_8,mod_des_20_9,mod_des_20_10,mod_des_20_11,mod_des_20_12,mod_des_20_13,mod_des_20_13_oe,mod_des_20_96,mod_value_20,mod_des_21,mod_des_21_1,mod_des_21_2,mod_des_21_3,mod_des_21_4,mod_des_21_5,mod_des_21_6,mod_des_21_7,mod_des_21_8,mod_des_21_9,mod_des_21_10,mod_des_21_11,mod_des_21_12,mod_des_21_13,mod_des_21_13_oe,mod_des_21_96,mod_value_21,mod_des_22,mod_des_22_1,mod_des_22_2,mod_des_22_3,mod_des_22_4,mod_des_22_5,mod_des_22_6,mod_des_22_7,mod_des_22_8,mod_des_22_9,mod_des_22_10,mod_des_22_11,mod_des_22_12,mod_des_22_13,mod_des_22_13_oe,mod_des_22_96,mod_value_22,mod_des_23,mod_des_23_1,mod_des_23_2,mod_des_23_3,mod_des_23_4,mod_des_23_5,mod_des_23_6,mod_des_23_7,mod_des_23_8,mod_des_23_9,mod_des_23_10,mod_des_23_11,mod_des_23_12,mod_des_23_13,mod_des_23_13_oe,mod_des_23_96,mod_value_23,mod_des_24,mod_des_24_1,mod_des_24_2,mod_des_24_3,mod_des_24_4,mod_des_24_5,mod_des_24_6,mod_des_24_7,mod_des_24_8,mod_des_24_9,mod_des_24_10,mod_des_24_11,mod_des_24_12,mod_des_24_13,mod_des_24_13_oe,mod_des_24_96,mod_value_24,mod_des_25,mod_des_25_1,mod_des_25_2,mod_des_25_3,mod_des_25_4,mod_des_25_5,mod_des_25_6,mod_des_25_7,mod_des_25_8,mod_des_25_9,mod_des_25_10,mod_des_25_11,mod_des_25_12,mod_des_25_13,mod_des_25_13_oe,mod_des_25_96,mod_value_25,mod_des_26,mod_des_26_1,mod_des_26_2,mod_des_26_3,mod_des_26_4,mod_des_26_5,mod_des_26_6,mod_des_26_7,mod_des_26_8,mod_des_26_9,mod_des_26_10,mod_des_26_11,mod_des_26_12,mod_des_26_13,mod_des_26_13_oe,mod_des_26_96,mod_value_26,mod_des_27,mod_des_27_1,mod_des_27_2,mod_des_27_3,mod_des_27_4,mod_des_27_5,mod_des_27_6,mod_des_27_7,mod_des_27_8
537,4250,-8.0,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8.0,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8.0,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8.0,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8.0,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8
538,4258,-8.0,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8.0,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8.0,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8.0,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8.0,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8
539,4259,0.0,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,1,Extend date and re-align activities,-8,10759953.0,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,1,Extend completion date and re-align task order,-8,0.0,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8.0,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8.0,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8
540,4261,-8.0,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8.0,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8.0,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8.0,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8.0,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8
541,4267,-8.0,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8.0,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8.0,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8.0,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8.0,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8
542,4268,-8.0,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8.0,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8.0,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8.0,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8.0,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8
543,4269,-8.0,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8.0,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8.0,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8.0,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8.0,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8
544,4270,-8.0,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8.0,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8.0,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8.0,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8.0,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8
545,4271,-8.0,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8.0,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8.0,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8.0,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8.0,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8
546,4272,-8.0,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8.0,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8.0,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8.0,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8.0,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8
